#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Product Group ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,obsid,distance
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V69,STAR FORMING REGION;STELLAR CLUSTER,IBY069030,84.36859333333,-69.05600277778,12939,SABBI,3,56440.51332,56440.5445,1598.465576,56440.70412,2012916447,POLYGON 84.36948453 -69.02998055 84.29882628 -69.05281824 84.36816668 -69.08120022 84.44061682 -69.05904022 84.36948453 -69.02998055 84.36948453 -69.02998055,2003851083,5002.24060617014
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1W,STAR FORMING REGION;STELLAR CLUSTER,IBY01W020,84.58512480727,-69.19146008876,12939,SABBI,3,56454.1674,56454.1833,1298.464661,56454.36225,2012916396,POLYGON 84.58602323 -69.16543787 84.51492422 -69.18827488 84.58469386 -69.21665753 84.65759602 -69.19449802 84.58602323 -69.16543787 84.58602323 -69.16543787,2003851032,5009.76102341196
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1N,STAR FORMING REGION;STELLAR CLUSTER,IBY01N020,84.44183103418,-69.08869342214,12939,SABBI,3,56441.72351,56441.73941,1298.464661,56441.99583,2012916378,POLYGON 84.4427244 -69.0626712 84.37195994 -69.08550857 84.44140294 -69.11389086 84.51396198 -69.09173113 84.4427244 -69.0626712 84.4427244 -69.0626712,2003851014,5021.88420769193
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1W,STAR FORMING REGION;STELLAR CLUSTER,IBY01W030,84.58653958333,-69.18361944444,12939,SABBI,3,56454.18416,56454.24008,1598.465576,56454.36301,2012916397,POLYGON 84.58743599 -69.15759722 84.51636405 -69.18043481 84.58611043 -69.20881689 84.6589849 -69.18665678 84.58743599 -69.15759722 84.58743599 -69.15759722,2003851033,5023.74972563305
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1N,STAR FORMING REGION;STELLAR CLUSTER,IBY01N030,84.44323916667,-69.08085277778,12939,SABBI,3,56441.76014,56441.77951,1598.465576,56442.06829,2012916379,POLYGON 84.44413137 -69.05483055 84.37339298 -69.07766822 84.44281203 -69.10605022 84.51534438 -69.0838902 84.44413137 -69.05483055 84.44413137 -69.05483055,2003851015,5037.78903823609
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1O,STAR FORMING REGION;STELLAR CLUSTER,IBY01O020,84.5075985256,-69.1148199516,12939,SABBI,3,56434.43036,56434.49942,1298.464661,56434.59507,2012916380,POLYGON 84.49707449 -69.08906796 84.43710144 -69.11557644 84.5182467 -69.13973062 84.58025277 -69.11379227 84.49707449 -69.08906796 84.49707449 -69.08906796,2003851016,5041.20435326995
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-V7C,STAR FORMING REGION;STELLAR CLUSTER,IBY07C020,84.5322517851,-69.11450269857,12939,SABBI,3,56545.58372,56545.60405,1408,56545.72436,2012916450,POLYGON 84.53591051 -69.08350035 84.43941314 -69.11321487 84.52865981 -69.14549077 84.62501414 -69.11646425 84.53591051 -69.08350035 84.53591051 -69.08350035,2003851086,5047.91223947856
image,HST,WFC3/IR,DADS,F110W,INFRARED,NGC-2070-3-V1X,STAR FORMING REGION;STELLAR CLUSTER,IBY01X020,84.6551843104,-69.21831008876,12939,SABBI,3,56447.46779,56447.48369,1298.464661,56447.59868,2012916398,POLYGON 84.65608384 -69.19228787 84.58489706 -69.21512486 84.65475283 -69.24350753 84.72774502 -69.221348 84.65608384 -69.19228787 84.65608384 -69.19228787,2003851034,5049.86200763909
image,HST,WFC3/IR,DADS,F160W,INFRARED,NGC-2070-3-V1O,STAR FORMING REGION;STELLAR CLUSTER,IBY01O030,84.50555041667,-69.10699722222,12939,SABBI,3,56434.5319,56434.56845,1598.465576,56434.71111,2012916381,POLYGON 84.49503138 -69.08124516 84.43507852 -69.10775328 84.5161936 -69.13190795 84.57817873 -69.10596998 84.49503138 -69.08124516 84.49503138 -69.08124516,2003851017,5052.58967210857
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070,STAR FORMING REGION;STELLAR CLUSTER,JBY07I010,84.62641115771,-69.1538966249,12939,SABBI,3,56556.67118,56556.74431,2270,56556.95205,2012945839,POLYGON 84.58563643 -69.12151089 84.53286835 -69.17376493 84.68912581 -69.18884409 84.73885627 -69.13481158 84.58563643 -69.12151089 84.58563643 -69.12151089,2003880475,5053.30015820079
