instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs filename
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byg9q_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byg9q_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.279011 -73.213985 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0byg9q_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bznjq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bznjq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bznjq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 502 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bznlq_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 502 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bznlq_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 502 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bznlq_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bzo6q_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bzo6q_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0bzo6q_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0c0p1q_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0c0p1q_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-16 added/smc/ACS/9488_H86-74/j8i0c0p1q_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-17 added/smc/ACS/9488_H86-74/j8i0c0p3q_flc.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-17 added/smc/ACS/9488_H86-74/j8i0c0p3q_flt.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-17 added/smc/ACS/9488_H86-74/j8i0c0p3q_raw.fits
ACS WFC 9488 HIGH-GALACTIC-LATITUDE 11.278735 -73.213869 F475W CLEAR2L Ratnatunga 600 2003-10-17 added/smc/ACS/9488_H86-74/j8i0c0p6q_flc.fits
