i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname
105,ACS,WFC,12908,ANY,92.085685,-73.753282,CLEAR1L,F435W,Goudfrooij,840,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01haq_flt.fits,16.0,lmc,NGC2209-FIELD
106,ACS,WFC,12908,ANY,92.085685,-73.753282,CLEAR1L,F814W,Goudfrooij,361,2013-04-23,lmc_fields/ACS/12908_ANY/jbyl01heq_flt.fits,16.0,lmc,NGC2209-FIELD
107,ACS,WFC,12908,ANY,96.464426,-69.007821,CLEAR1L,F814W,Goudfrooij,333,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02iiq_flt.fits,17.0,lmc,NGC2209-FIELD
108,ACS,WFC,12908,ANY,96.464426,-69.007821,CLEAR1L,F435W,Goudfrooij,795,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02ilq_flt.fits,17.0,lmc,NGC2209-FIELD
109,ACS,WFC,12908,ANY,96.464141,-69.007157,CLEAR1L,F435W,Goudfrooij,815,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02ipq_flt.fits,17.0,lmc,NGC2209-FIELD
110,ACS,WFC,12908,ANY,96.464141,-69.007157,CLEAR1L,F814W,Goudfrooij,413,2013-11-09,lmc_fields/ACS/12908_ANY/jbyl02itq_flt.fits,17.0,lmc,NGC2209-FIELD
111,ACS,WFC,13009,ANY,85.929747,-69.117337,F606W,CLEAR2L,De Marchi,130,2013-09-23,lmc_fields/ACS/13009_ANY/jbyy31miq_flt.fits,18.0,lmc,NGC2108
112,ACS,WFC,13009,ANY,85.92984,-69.117291,CLEAR1L,F814W,De Marchi,347,2013-09-23,lmc_fields/ACS/13009_ANY/jbyy31mvq_flt.fits,18.0,lmc,NGC2108
573,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F435W,Goudfrooij,90,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fdq_flt.fits,18.0,lmc,NGC2108
574,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F435W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05feq_flt.fits,18.0,lmc,NGC2108
575,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F435W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fgq_flt.fits,18.0,lmc,NGC2108
576,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,F555W,CLEAR2L,Goudfrooij,40,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fjq_flt.fits,18.0,lmc,NGC2108
577,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,F555W,CLEAR2L,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fkq_flt.fits,18.0,lmc,NGC2108
578,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,F555W,CLEAR2L,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fmq_flt.fits,18.0,lmc,NGC2108
579,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F814W,Goudfrooij,8,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fpq_flt.fits,18.0,lmc,NGC2108
580,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F814W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fqq_flt.fits,18.0,lmc,NGC2108
581,ACS,WFC,10595,ESO057-SC033,85.987547,-69.180039,CLEAR1L,F814W,Goudfrooij,340,2006-08-22,clusters/ACS/10595_ESO057-SC033/j9es05fsq_flt.fits,18.0,lmc,NGC2108
