k,i,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
246,627,ACS,WFC,9827,ANY,83.329686,-70.999338,CLEAR1L,F435W,Bianchi,65,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12egq_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.37184160 -71.03847690 83.40339920 -71.01278200 83.24993410 -70.98735760 83.21821730 -71.01302650 83.37184160 -71.03847690 POLYGON J2000 83.43899000 -70.98541950 83.28284000 -70.96040160 83.24949690 -70.98687940 83.40581430 -71.01192530 83.43899000 -70.98541950
247,628,ACS,WFC,9827,ANY,83.329686,-70.999338,CLEAR1L,F814W,Bianchi,40,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12etq_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.24994070 -70.98735660 83.21822690 -71.01302430 83.37184030 -71.03847450 83.40339490 -71.01278070 83.24994070 -70.98735660 POLYGON J2000 83.43898390 -70.98541990 83.28284330 -70.96040270 83.24950300 -70.98687900 83.40581100 -71.01192420 83.43898390 -70.98541990
248,629,ACS,WFC,9827,ANY,83.329686,-70.999338,CLEAR1L,F814W,Bianchi,40,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12exq_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.37184160 -71.03847690 83.40339920 -71.01278200 83.24993410 -70.98735760 83.21821730 -71.01302650 83.37184160 -71.03847690 POLYGON J2000 83.43899000 -70.98541950 83.28284000 -70.96040160 83.24949690 -70.98687940 83.40581430 -71.01192530 83.43899000 -70.98541950
249,630,ACS,WFC,9827,ANY,83.329686,-70.999338,F555W,CLEAR2L,Bianchi,50,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12f6q_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.37184160 -71.03847690 83.40339920 -71.01278200 83.24993410 -70.98735760 83.21821730 -71.01302650 83.37184160 -71.03847690 POLYGON J2000 83.43899000 -70.98541950 83.28284000 -70.96040160 83.24949690 -70.98687940 83.40581430 -71.01192530 83.43899000 -70.98541950
250,631,ACS,WFC,9827,ANY,83.329686,-70.999338,F555W,CLEAR2L,Bianchi,50,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12fcq_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.37184160 -71.03847690 83.40339920 -71.01278200 83.24993410 -70.98735760 83.21821730 -71.01302650 83.37184160 -71.03847690 POLYGON J2000 83.43899000 -70.98541950 83.28284000 -70.96040160 83.24949690 -70.98687940 83.40581430 -71.01192530 83.43899000 -70.98541950
251,632,ACS,WFC,9827,ANY,83.329686,-70.999338,F658N,CLEAR2L,Bianchi,300,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12ffq_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.37184160 -71.03847690 83.40339920 -71.01278200 83.24993410 -70.98735760 83.21821730 -71.01302650 83.37184160 -71.03847690 POLYGON J2000 83.43899000 -70.98541950 83.28284000 -70.96040160 83.24949690 -70.98687940 83.40581430 -71.01192530 83.43899000 -70.98541950
252,633,ACS,WFC,9827,ANY,83.329686,-70.999338,F658N,CLEAR2L,Bianchi,300,2004-07-05,clusters/ACS/9827_ANY_NGC2031/j8qz12fiq_flt.fits,67.0,lmc,NGC2031,POLYGON J2000 83.37184160 -71.03847690 83.40339920 -71.01278200 83.24993410 -70.98735760 83.21821730 -71.01302650 83.37184160 -71.03847690 POLYGON J2000 83.43899000 -70.98541950 83.28284000 -70.96040160 83.24949690 -70.98687940 83.40581430 -71.01192530 83.43899000 -70.98541950
253,600,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,CLEAR1L,F435W,Goudfrooij,90,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rbq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
254,601,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,CLEAR1L,F435W,Goudfrooij,360,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rcq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
255,602,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,CLEAR1L,F435W,Goudfrooij,360,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06req_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
256,603,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,CLEAR1L,F435W,Goudfrooij,360,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rgq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
257,604,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,F606W,CLEAR2L,Goudfrooij,10,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rjq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
258,605,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,F606W,CLEAR2L,Goudfrooij,350,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rkq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
259,606,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,F606W,CLEAR2L,Goudfrooij,350,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rmq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
260,607,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,CLEAR1L,F814W,Goudfrooij,8,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rpq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
261,608,ACS,WFC,10595,ESO121-SC003,90.509783,-60.521783,CLEAR1L,F814W,Goudfrooij,350,2006-03-03,clusters/ACS/10595_ESO121-SC003/j9es06rqq_flt.fits,68.0,lmc,ESO121-3,POLYGON 90.52132607 -60.49028475 90.46772088 -60.49938348 90.49751015 -60.55375371 90.54939477 -60.54406638 90.52132607 -60.49028475 90.52132607 -60.49028475
