i,j,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
961,347,ACS,WFC,10248,NGC299,13.354167,-72.197583,CLEAR1L,F814W,Nota,3,2004-09-07,clusters/ACS/10248_NGC299/j92f11icq_flt.fits,46.0,smc,NGC299,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227
868,211,ACS,WFC,13009,ANY,16.151508,-72.92223,F606W,CLEAR2L,De Marchi,100,2013-08-01,smc_fields/ACS/13009_ANY/jbyy91ahq_flt.fits,34.0,smc,NGC376-FIELD,
869,212,ACS,WFC,13009,ANY,16.151658,-72.922194,CLEAR1L,F814W,De Marchi,347,2013-08-01,smc_fields/ACS/13009_ANY/jbyy91arq_flt.fits,34.0,smc,NGC376-FIELD,
962,296,WFC3,UVIS,13009,LOW-NGC376,16.01918,-72.831,...,...,De Marchi,700,2013-08-01,smc_fields/WFC3/13009_LOW-NGC376/ibyy91agq_flt.fits,47.0,smc,NGC376,
963,297,WFC3,UVIS,13009,LOW-NGC376,16.01918,-72.831,...,...,De Marchi,707,2013-08-01,smc_fields/WFC3/13009_LOW-NGC376/ibyy91akq_flt.fits,47.0,smc,NGC376,
964,298,WFC3,UVIS,13009,LOW-NGC376,16.01918,-72.831,...,...,De Marchi,982,2013-08-01,smc_fields/WFC3/13009_LOW-NGC376/ibyy91aoq_flt.fits,47.0,smc,NGC376,
965,374,ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08lzq_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
966,375,ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m0q_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
967,376,ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m2q_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
968,377,ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m4q_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
969,378,ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,450,2004-09-12,clusters/ACS/10248_NGC376/j92f08m6q_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
970,379,ACS,WFC,10248,NGC376,15.974458,-72.824894,F555W,CLEAR2L,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08m9q_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
971,380,ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,3,2004-09-12,clusters/ACS/10248_NGC376/j92f08mbq_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
972,381,ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08mcq_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
973,382,ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08meq_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
974,383,ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08mgq_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
975,384,ACS,WFC,10248,NGC376,15.974458,-72.824894,CLEAR1L,F814W,Nota,490,2004-09-12,clusters/ACS/10248_NGC376/j92f08miq_flt.fits,47.0,smc,NGC376,POLYGON 16.11004604 -72.82065544 16.06341336 -72.79710393 15.89156857 -72.8195421 15.93659232 -72.84410139 16.11004604 -72.82065544 16.11004604 -72.82065544
