#@ string, ra, dec, float, float, float, float, int, string
# Name RA Dec M_V logAge elogAge logMass Source AltName
SL663        5h42m28.8s -65d21m44.0s -7.58 9.51 0.06 5.23 4 NA
NGC2098      5h42m29.0s -68d16m28.9s -7.78 7.60 0.20 4.11 1 NA
NGC2108      5h43m56.0s -69d10m50.0s -6.18 9.01 0.05 4.40 4 NA
NGC2105      5h44m19.0s -66d55m04.1s -6.23 8.20 0.20 3.86 1 NA
NGC2109      5h44m22.0s -68d32m48.1s -6.58 8.20 0.40 4.00 1 NA
BM32         5h44m49.0s -67d19m43.0s -6.67 7.90 0.20 3.85 1 NA
SL714        5h47m16.0s -66d52m59.2s -5.28 8.60 0.40 3.76 1 NA
NGC2117      5h47m46.0s -67d27m02.9s -6.70 7.80 0.20 3.80 1 NA
NGC2121      5h48m11.6s -71d28m51.0s -7.85 9.51 0.06 5.69 4 NA
HODGE7       5h50m03.0s -67d43m05.0s -6.24 9.17 0.05 4.47 4 NA
SL748        5h50m15.0s -70d25m40.1s -5.85 8.40 0.40 3.85 1 NA
BM112        5h50m21.0s -68d39m27.0s -5.64 8.40 0.60 3.77 1 NA
LW318        5h50m43.0s -65d18m14.0s -6.48 8.10 0.20 3.89 1 NA
NGC2127      5h51m22.0s -69d21m38.9s -6.90 7.90 0.20 3.94 1 NA
NGC2133      5h51m28.0s -71d10m28.9s -6.30 8.20 0.20 3.89 1 NA
NGC2123      5h51m43.0s -65d19m17.0s -6.01 8.20 0.20 3.77 1 NA
NGC2134      5h51m55.0s -71d05m51.0s -7.71 7.40 0.40 3.94 1 NA
NGC2130      5h52m22.0s -67d20m02.0s -6.31 7.90 0.40 3.70 1 NA
NGC2136      5h52m58.0s -69d29m36.0s -8.62 8.00 0.10 4.45 4 NA
HS445        5h53m49.0s -67d23m08.9s -6.77 8.30 0.20 4.15 1 NA
NGC2145      5h54m22.0s -70d54m04.0s -6.27 8.30 0.20 3.95 1 NA
NGC2157      5h57m32.4s -69d11m49.0s -9.09 7.60 0.20 4.31 4 NA
NGC2154      5h57m38.0s -67d15m43.0s -6.71 9.15 0.05 4.57 4 NA
NGC2156      5h57m45.0s -68d27m38.2s -7.17 7.90 0.20 4.05 1 NA
NGC2153      5h57m51.2s -66d23m58.0s -5.58 9.11 0.14 3.97 4 NA
NGC2159      5h57m57.0s -68d37m26.0s -7.10 8.00 0.20 4.08 1 NA
NGC2173      5h57m58.5s -72d58m40.0s -7.33 9.33 0.08 5.06 4 NA
NGC2160      5h58m11.0s -68d17m24.0s -6.30 8.00 0.20 3.75 1 NA
NGC2155      5h58m33.3s -65d28m35.0s -6.68 9.51 0.06 4.90 4 NA
NGC2164      5h58m55.9s -68d31m00.0s -8.61 7.70 0.20 4.12 4 NA
NGC2172      6h00m04.0s -68d38m12.8s -6.80 7.90 0.20 3.90 1 NA
NGC2162      6h00m30.4s -63d43m19.0s -6.33 9.11 0.14 4.40 4 NA
NGC2190      6h01m02.0s -74d43m33.0s -5.56 9.04 0.05 4.17 4 NA
SL822        6h02m05.0s -68d20m08.2s -5.45 8.80 0.60 3.96 1 NA
