Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName
@string,ra,dec,string,float,float,int,string,string
"BSDL1920,LOGLE514",82.225,-70.07194444,C,0.600000024,0.550000012,170,,BSDL1920
"HS324,KMHK961",82.22916667,-71.11972222,CA,0.800000012,0.649999976,80,in SGshell-LMC9,[HS66] 324
"SL503,KMHK952",82.24583333,-68.41888889,C,1.200000048,1,170,sup BSDL1912,[SL63] 503
"HS317,KMHK947",82.25833333,-64.2875,C,0.699999988,0.649999976,80,,[HS66] 317
"OHSC17,KMHK946",82.26666667,-63.76833333,C,0.800000012,0.800000012,0,,OHSC17
"BSDL1928,LOGLE516",82.275,-69.80833333,C,1.299999952,1,130,,BSDL1928
BSDL1924,82.28333333,-68.75472222,CA,0.649999976,0.649999976,0,in KMHK955,BSDL1924
"SL502,KMHK951",82.29583333,-66.59138889,C,1.5,1.299999952,40,in Shapley-III,[SL63] 502
BSDL1955,82.325,-71.02888889,CN,0.699999988,0.699999988,0,in BSDL1972,BSDL1955
"HS327,LOGLE517",82.32916667,-69.91472222,C,0.600000024,0.5,20,mP,[HS66] 327
"SL508,LOGLE518",82.33333333,-69.59916667,C,1,1,0,,[SL63] 508
"SL510,KMHK968",82.33333333,-70.57944444,CA,0.75,0.699999988,170,,[SL63] 510
"HS322,KMHK954",82.3375,-66.5075,CA,0.75,0.550000012,30,in Shapley-III,[HS66] 322
"BSDL1949,LOGLE519",82.35,-70.23666667,C,1,0.899999976,130,,BSDL1949
GKK-240,82.35,-67.3,CA,1.460000038,1.460000038,0,,[GKK2003] O240
"KMK88-59,LOGLE520",82.35416667,-69.92,C,0.949999988,0.850000024,30,mP,KMK88 59
"BSDL1945,LOGLE521",82.3625,-69.785,C,0.600000024,0.5,0,"mP,br*in",BSDL1945
GKK-O7,82.375,-72.13333333,CA,1.460000038,1.460000038,0,,[GKK2003] O7
"BSDL1959,LOGLE522",82.38333333,-70.06805556,C,1.399999976,1.100000024,100,,BSDL1959
BSDL1980,82.3875,-70.99388889,CN,0.400000006,0.349999994,80,in BSDL1985,BSDL1980
"HS328,LOGLE523",82.3875,-69.54277778,C,0.649999976,0.550000012,170,in DEML224,[HS66] 328
"BSDL1951,LOGLE524",82.39166667,-69.38944444,C,0.800000012,0.649999976,100,in BSDL1983,BSDL1951
"SL514,LOGLE525",82.39583333,-69.77583333,C,1.399999976,1.100000024,70,mP,[SL63] 514
"BSDL1961,LOGLE526",82.39583333,-69.97555556,C,0.550000012,0.5,160,,BSDL1961
"HS326,KMHK963",82.4,-67.12833333,C,0.699999988,0.550000012,20,in Shapley-III,[HS66] 326
BSDL1936,82.4,-67.00361111,CN,0.600000024,0.5,160,in DEML214,BSDL1936
"BSDL1962,LOGLE527",82.40833333,-70.0125,C,0.699999988,0.649999976,50,,BSDL1962
BSDL1948,82.40833333,-68.55027778,CA,0.400000006,0.349999994,40,in DEML203,BSDL1948
"HS325,KMHK962",82.4125,-66.76166667,C,1.200000048,1,50,in Shapley-III,[HS66] 325
"KMHK979,GKK-O101",82.4125,-70.98388889,CA,0.699999988,0.5,20,in BSDL1972,KMHK979
"HS329,KMHK984",82.44166667,-71.00055556,CN,0.75,0.649999976,110,in BSDL1985,[HS66] 329
"SL509,LW221,ESO85SC91,KMHK957",82.45,-63.64944444,C,1.899999976,1.799999952,150,double nucleus,[SL63] 509
BSDL2008,82.45416667,-71.07138889,CN,0.449999988,0.400000006,150,in BSDL2005,BSDL2008
"SL511,LW222,KMHK959",82.45416667,-64.43861111,C,1.100000024,1,40,,[SL63] 511
"HS331,LOGLE528",82.475,-69.88972222,C,1,0.75,30,,[HS66] 331
"SL512,KMHK966",82.475,-66.07444444,C,0.699999988,0.600000024,140,in DEML220,[SL63] 512
"KMHK971,GKK-O247",82.47916667,-67.31027778,C,0.699999988,0.649999976,10,"in GKK-O235,in DEML212,br*in",KMHK971
KMK88-60,82.47916667,-69.01305556,CA,0.600000024,0.449999988,80,in BSDL1982,KMK88 60
LW224,82.48333333,-72.05472222,C,0.5,0.349999994,70,"mT,in HS330",LW224
"SL513,KMHK970",82.49166667,-66.75805556,C,1.200000048,1.100000024,100,in Shapley-III,[SL63] 513
KMHK975,82.49583333,-67.87888889,C,0.400000006,0.349999994,30,,KMHK975
"SL516,KMHK972",82.49583333,-66.97833333,CN,0.800000012,0.649999976,110,in DEML214,[SL63] 516
"BSDL2002,LOGLE529",82.5,-70.06166667,C,0.550000012,0.449999988,120,"mP,br*in",BSDL2002
GKK-O7,82.5,-67.03333333,CA,1.460000038,1.460000038,0,,[GKK2003] O7
LOGLE530,82.5,-69.5225,C,0.400000006,0.400000006,0,mP,OGLE-CL LMC 530
LOGLE531,82.50416667,-69.52694444,C,0.460000008,0.460000008,0,mP,OGLE-CL LMC 531
"SL519s,LOGLE532",82.50833333,-69.95055556,C,0.649999976,0.600000024,90,mP,[SL63] 519
"SL519n,LOGLE533",82.50833333,-69.94388889,C,0.899999976,0.800000012,100,mP,[SL63] 519
BSDL1965,82.5125,-66.94416667,C,0.5,0.449999988,100,in LH65,BSDL1965
KMHK974,82.51666667,-66.8725,C,0.949999988,0.850000024,10,in LH77,KMHK974
"BSDL2010,LOGLE535",82.51666667,-69.85555556,C,0.800000012,0.5,50,,BSDL2010
LOGLE536,82.51666667,-70.20416667,C,0.360000014,0.360000014,0,,OGLE-CL LMC 536
LOGLE534,82.51666667,-70.12555556,C,0.129999995,0.129999995,0,,OGLE-CL LMC 534
LOGLE537,82.51666667,-69.74083333,C,0.180000007,0.180000007,0,mP,OGLE-CL LMC 537
KMHK976,82.525,-67.02916667,C,0.899999976,0.699999988,80,"mP,in Shapley-III",KMHK976
